Job Title,Profile
ADC Process Scientist,"Degree in Chemistry, Biochemistry, Analytical Science or related discipline with 3-5 years experience/MSc with 2-5 years experience/PhD in biopharmaceutical industry;
Experience with at scale ADC manufacturing including conjugation and fill finish operations;
Detailed understanding of the chemistry of large molecule and protein conjugation as evidenced by successful project execution;
Experience with new product introductions / technology transfers to fill finish manufacturing facility."
Analytical Development Bioassay Senior Scientist,
"Associate Director, Global Regulatory Sciences, Precision Medicine & Digital Health",
Biostatistician (Associate Director),
Associate Director/Director Global Regulatory Affairs - CMC,
Bioprocess Engineer Mammalian,
"Scientist, Drug Product Design",
"Scientist - Solution, Usability and Process","You have a strong background within pathology, and a deep understanding of the staining techniques applied to tissue sections to produce diagnostic results. In addition, you have a keen interest in the design and functionality of the systems designed to support these staining techniques. You thrive when working in teams with diverse technical background and use your communication skills to ensure that the different perspectives of the team are used to secure the optimal result, and you are accustomed to documenting your work in a detailed manner. Experience with product development within regulated space will be seen as an advantage.
Education:
You are a Bachelor of Biomedical Laboratory Science or equivalent or have a Bachelor/Master’s Degree in Life Science (Biology, Biochemistry or similar);
You are fluent in English, oral and written
Experience:
At least 3 years’ experience within pathology;
Working in teams with diverse background;
Strong networker."
Senior Clinical Project Statistician,"Proficient in statistical programming languages/software such as SAS, R, Spotfire, WinBUGs, etc.;
Interpersonal communication skills for effective customer consultation;
Teamwork and leadership skills;
Technical expertise and application with working knowledge of experimental design and statistical analysis;
Self-management skills with a focus on results for timely and accurate completion of competing deliverables;
Resource management skills;
Creativity and innovation;
Demonstrated problem solving ability and critical thinking;
Business process expertise associated with critical activities (e.g., regulatory submissions)."
Global Medical Category Manager,
Junior Scientist - In Vitro Pharmacology,
Medical Science Liaison,"Advanced degree in health sciences or clinical discipline required. Doctorate level degree (i.e. Pharm D, MD/DO, PhD). Candidates with an undergraduate degree and significant relevant experience may be considered;
Greater than or equal to 2 years of clinical, scientific/research, or industry related experience or equivalent strongly preferred;
Solid knowledge of the pharmaceutical environment and the role of Medical Affairs to advance the medical and scientific. Objectives of a pharmaceutical company preferred;
Experience in a Medical Science Liaison (or similar) role with proven success preferred;
Ability to interpret clinical data and clearly communicate on key aspects of the data and impact to practice/patients;
Ability to quickly learn about new subject areas and environments;
Experience in developing and maintaining expert knowledge for the assigned therapeutic area, and in medical research in general."
MSL - Paediatric Oncology,
"Junior Scientist Quality Control, Raw Materials",
Senior Manager - Process Development for CGT,"You will have successfully completed your PhD or medical degree, preferably with post-doctoral training, and have in-depth expertise in cell and vector development, with an understanding of regulatory requirements;
In addition, you will have a proven track record of managing scientific and/or drug development programmes and several years of experience, ideally in the pharma/biotech industry;
In your previous roles, you have led teams to success by identifying and developing talent and delegating effectively;
You are creative, goal-orientated and able to work both independently and across disciplines. You also welcome new challenges;
Excellent communication skills in English round off your profile."
Senior Analytical Scientist,
"Risk Based Quality Management Lead, Associate Director",
Head of Regulatory Affairs EMEA,
Scientist II Analytical Development Services,
Senior Director Regulatory Global Specialty/Biosimilar Development,
Assay Development Scientist (Histopathology),
Development Scientist (Assay Development),
Quality Manager,
Clinical Research Associate,"Experience: Minimum of 5 years of clinical monitoring experience within a CRO, biotech, or pharmaceutical environment;
Education: A Bachelor’s degree in a related field (Life Sciences, Nursing, etc.);
Regulatory Knowledge: Strong understanding of ICH-GCP guidelines and regulatory requirements in the UK;
Technical Skills: Proficiency in clinical trial management systems (CTMS) and eTMF platforms;
Communication: Excellent written and verbal communication skills with the ability to interact effectively with site staff and sponsor representatives."
International Regulatory Affairs Specialist,
Sales Manager Portfolio Generics,
"Scientist, Exploratory Biopharmaceutics",
Product Lifecycle Responsible R&D Scientist - Pathology,"We are looking for a motivated individual with the following background:
Master’s/PhD in Biology, Biochemistry, Biotechnology or similar;
Proven experience of at least 2 years within design control of Medical/Diagnostic devices;
Knowledge of IHC (Immunohistochemistry), ISH (in situ hybridization) or special stains is a plus;
Full fluency in English. Note that Danish is not required."
Senior Global Trial Lead/Senior Clinical Trial Manager,
"Senior Specialist, CMC Drug Product","You are passionate about our purpose and genuinely care about our mission to transform the lives of patients through innovative cancer treatment.
You bring rigor and excellence to all that you do. You are a fierce believer in our rooted-in-science approach to problem-solving.
You are a generous collaborator who can work in teams with diverse backgrounds.
You are determined to do and be your best and take pride in enabling the best work of others on the team.
You are not afraid to grapple with the unknown and be innovative.
You have experience working in a fast-growing, dynamic company (or a strong desire to).
You work hard and are not afraid to have a little fun while you do so."
Medical Science Liaison - Aesthetics,
"Associate Director, Drug Substance Technology Transfer",
Precision Medicine Advisor Oncology,"Requirements:
Medical or Italian equivalent to Laurea Magistrale in life science/chemistry related topics.
Minimum of 3 years’ working experience in clinical context or in pharmaceutical/biotechnological industry, in a scientific/medical role, within cross functional teams or in clinical oncology or diagnostics.
Excellent knowledge of the health sector and of its development.
Effective management of the work in a matrix structure.
Fluency in written and oral English (Minimum Common European Framework Level: C1).
Proven strength in project management and strategy areas.
Excellent communication and teamwork skills.
High organizational talent, flexibility, and independent working style.
Convincing and open communication with different interlocutors in an interdisciplinary environment
Preferred:
Medical Specialization, PHD in medical sciences.
Proven success in pharmaceutical/biotechnological contex."
Senior Microbiologist,"Bachelor Degree qualification in biology or microbiology;
A thorough knowledge of aseptic and sterile processes together with experience within a GMP environment and knowledge of current EU/FDA/ICH/HPRA and Annex 1 guidelines;
3 -5 years’ (minimum) experience in microbiology is a requirement & working in a sterile/aseptic/pharma environment is a distinct advantage;
Experience in supporting regulatory inspections HPRA, FDA etc. is an advantage;
Experience in cleaning validation is an advantage."
Quality Assurance Specialist,
Analytical Scientist,"Essential Requirements:
Academic degree in a technical or scientific subject, ideally chemistry, pharmacy or minimal 5 years’ experience in Respiratory Analytical Laboratory testing
Good understanding of analytical methods and technologies for respiratory product development
Experience in development functions preferably in the pharmaceutical industry
Strong knowledge of GMP and regulatory guidelines
Independent way of working and excellent team player
Compliance with Sandoz standards for quality, ethics and behavior
Fluent in English (oral and written)"
Senior Regulatory Affairs Specialist,
Manager PV Operations,
Medical Affairs Consultant,
Senior Project Manager Early Stage Drug Discovery,
Senior Scientist Immunology,
"Director, Supplier Quality","Education: bachelor’s degree of science or related field is required, advanced degree in engineering, pharmaceutical or medical field preferred (MSc, PhD).
10+ years of industry experience, with increasing managerial responsibility and matrix leadership in a life science environment.
Experience must include 5+ years of experience with supplier quality management in a regulated environment, such as IVD, Medical Devices, Pharma, Biotechnology, or equivalent.
Expert knowledge of ISO 9001, ISO 13485, MDSAP, IVDR, 21 CFR 820, 21 CFR 210/211. Additional experience in the biopharmaceutical environment, ICH guidelines, etc., a plus.
Demonstrated ability to interface with senior executives and cross-functional teams, and strong proven ability to influence and drive change.
Strong leadership and team building skills.
Experience in managing complex organizational challenges and identifying and successfully implementing corporate-level strategic initiatives and priorities.
Demonstrated ability to effectively manage multiple priorities with a sense of urgency.
Experience in operating in a multi-disciplinary life science environment.
Excellent written and verbal communication skills.
Fluency in written and spoken English."
"Specialist, Quality Control - Chemistry & Stability",
Manufacturing Specialist - Mammalian,
Senior Statistical Programmer,
Sr Clinical Project Manager - Sickle Cell/Hematology,"Bachelor's Degree Life sciences or related field. Req
Requires greater than 7 years clinical research experience including 4 years project management experience or equivalent combination of education, training and experience. Req
Requires advanced knowledge of job area, and broad knowledge of a other related job areas, typically obtained through advanced education combined with experience. Req
Knowledge of clinical trials - Knowledge of clinical trial conduct, and skill in applying applicable clinical research regulatory requirements i.e. ICH GCP and relevant local laws, regulations and guidelines, towards clinical trial conduct. Broad protocol knowledge, therapeutic knowledge desired. Good understanding of the competitive environment and how to communicate/demonstrate value through IQVIA solutions.
Communication - Strong written and verbal communication skills including good command of English language. Strong presentation skills.
Communication - Requires strong negotiation and customer management skills.
Problem solving - Strong problem solving skills.
Leadership - Ability to work through others to deliver results to the appropriate quality and timeline metrics, monitoring/managing performance and providing feedback, experience productively partnering cross functionally and with customers to advance work effectively and efficiently.
Organisation - Planning, time management and prioritization skills. Ability to organize resources needed to accomplish tasks, set objectives and provide clear direction to others, experience planning activities in advance and taking account of possible changing circumstances.
Leadership - Ability to make decisions, bringing clarity to disparate information to inform actions and drive results.
Prioritisation - Ability to handle conflicting priorities. Ability to work strategically to realize project goals, identifying and developing positive and compelling visions for the successful delivery of the project.
Quality - Attention to detail and accuracy in work.
Quality - Results-oriented approach to work delivery and output. Demonstrated learning agility and openness to learning and keeping own knowledge and skill set current and evolving.
IT skills - Good software and computer skills, including MS. Office applications including but not limited to Microsoft Word, Excel and PowerPoint.
Collaboration - Ability to establish and maintain effective working relationships with coworkers, managers and clients. Excellent customer service skills and demonstrated ability to understand customer needs. Effective mentoring and training skills, fostering learning and knowledge sharing with colleagues.
Cross-collaboration - Ability to work across geographies displaying high awareness and understanding of cultural differences. Good understanding of other IQVIA functions and their inter-relationship with Project Leadership.
Finances - Good understanding of project financials including experience managing, contractual obligations and implications.
IQVIA Core Competencies - Ability to demonstrate all IQVIA competencies (Client Focus, Collaboration, Communication, innovation, Ownership)."
Quality Assurance Manager & Responsible Person Delegate,
Medical Science Liaison - Biologics,
Medical Scientific Liaison Aesthetics (MSL),
Scientist - Process Cleaning,
Senior Project Manager,
"Manager Regulatory Affairs, Quality Assurance and Compliance - Spain & Portugal","Education Required
University degree in life science/pharmacy.
5+ years of experience in the pharmaceutical industry.
Computer Skills: Efficient in Microsoft Word, Excel, MS Project, MS PowerPoint and Outlook.
Other Qualifications
Ability to work effectively in a fast-paced environment.
Good interpersonal and collaborative skills, strong organizational skills and effective written and verbal communication skills."
"Manager, Cell Therapy Logistics & Warehousing - EMEA & APAC","Bachelor’s degree in supply chain, logistics management or equivalent.
Minimum seven years of experience in logistics, transportation, warehousing, or import/export in pharmaceutical industry.
Experience in cell and gene or biotech preferred.
Experience with complex and highly regulated pharma supply chain and logistics models.
Good knowledge of GDP regulations, transport regulations and dangerous goods regulations.
Skilled in planning tasks, organizing work, and communicating problem statements and solution proposals.
Ability to work in a fast-changing environment and in serving as change agent.
Flexibility in responding to change or business needs.
Strong experience in supporting ERP systems (preferably Oracle EBS and SAP).
High level of computer literacy (Excel, PowerPoint).
Must be a self-starter with strong commitment to development and continuous improvement of systems, operations, and processes.
Ability to work on cross-functional teams and build partnerships.
Excellent written and oral communication skills in English - additional language skills are an asset.
Travel: This position requires up to 10 % of travel."
"Global Marketing Manager, Eyecare","Bachelor’s Degree in business or related field is required. MBA preferable
Proven marketing management success within pharmaceutical sector
Prior affiliate-level marketing experience is essential
Experience managing digital/multichannel communication highly desired
Prior field-based experience as a pharmaceutical representative is useful
Competencies
Excellent communication (1:1 verbal, written and presentations) and teamwork skills required to gain internal trust and support for strategic imperatives and operational programmes, and the ability to gain group consensus in a team environment that values analysis and data-based decisions
Ability to manage and drive multiple simultaneous initiatives with flexibility, impeccable attention to detail and demonstrated ownership over an initiative’s success
Ability to work in matrix/Cross-functional environment
Very strong planning and project management skills
High competency with Microsoft Office PowerPoint, Excel, Word
Fluent in English and ideally at least one other language
Availability for frequent travel internationally (~30%)"
"Clinical Specialist, Image Guided Surgery",
IVD Clinical Application Specialist,
"Senior Director, Epidemiology","12+ years’ Epidemiology experience in academia, CROs, biopharmaceutical and/or medical-device industry setting(s), or elsewhere relevant to the position
Significant experience in the application of expert epidemiologic knowledge to the conceptualization, design and successful delivery of epidemiology services in pharmacoepidemiology, real-world research, risk management and pharmacovigilance
Experience with key epidemiology study designs (e.g., prospective and retrospective single-cohort and comparative cohort studies, patient and physician surveys, cross-sectional studies)
Remains current with evolution in industry on epidemiology methods, new and innovative study designs, and clinical data sources
Remains current with regulatory and other industry positions on epidemiologic approaches and real-world evidence
Requires consulting experience where the candidate added clear value to epidemiologic study design and/or provided an innovative solution to Sponsor’s business needs in real-world evidence generation and/or drug safety
Demonstrated Thought Leadership and name recognition through published works and industry/scientific presentations
Comprehensive knowledge of global regulations regarding pharmacovigilance, risk management and safety reporting; drug development; epidemiologic/non-interventional research methodologies; and pharmacoepidemiologic statistical-analysis models
Experience working with Academic Institutions or Healthcare Providers a plus
Education:
Advanced degree (i.e., MD/MPH, MPH, PhD, DrPH) in epidemiology"
QC Chemist,"Experience:
2-3 years’ laboratory experience obtained in a manufacturing environment – ideally part of which would be in the pharmaceutical sector
Technical and Soft skills:
Operational experience of quality laboratories in a fast-moving manufacturing environment
Knowledge of quality management systems, pharmaceutical manufacturing operations, requirements for cGLP, pharmacopoeial methods and stability
Understand relevant quality/compliance regulations, and KPIs for the site
Can manage projects to plan/budget
Good communication and an effective facilitator
Shows flexibility, drive, innovation, can collaborate effectively with others
Education:
Degree in Science (Chemistry or Biochemistry preferred)"
Supply Chain Project Leader - Demand Management & Planning,
Medical Science Liaison Haemato-Immunology,"Degree in life sciences (MD, PharmD, PhD, or equivalent) is a mandatory requirement.
Proven history of effectively delivering oral presentations within the healthcare profession.
Minimum of 2 years of experience in the rare diseases and Immunology field, in a role related to research, development, medical support, or scientific advisory.
Previous experience in a medical or Med-MKT department within the pharmaceutical industry is highly preferred.
Demonstration of expertise in essential skills, capabilities, and competencies.
Proficiency in written and spoken English is essential. Proficiency in other languages is considered an asset.
Key Competences and Attributes
Ability to establish and maintain credible, enduring, and professional relationships. Achieves personal impact through respectful and professional engagement.
Emphasis on personal accountability and ownership, consistently striving for responsibility in pursuit of continuous performance improvement and operational excellence. Deliver all assigned projects in a timely and high-quality manner.
Proficiency in exchanging scientific ideas and information effectively with KOLs and other HCPs. Exceptional presentation skills for conveying scientific and medical data to both small and large audiences.
Demonstrates comprehensive therapeutic competency and expertise in the leading scientific developments within the designated disease state.
Effective listening skills, coupled with the capacity to collaborate successfully within virtual teams and multi-disciplinary environments.
Superior written and verbal communication skills.
Strong leadership and influencing abilities.
Above-average computer skills. Proficiency in various software applications, including MS Office and databases.
Updated knowledge regarding relevant pharmaceutical guidelines and regulations, the Code of Ethical Practices, and company policies.
Additional Attributes
Positive and proactive attitude, showcasing a winning mindset.
Demonstrates a constant commitment to individual and MSL team goals.
Approaches challenges with a constructive and solution-oriented outlook, while remaining dedicated to meeting the needs outlined and directed by the manager.
Highly motivated and self-directed, with a capacity for innovative and strategic thinking.
Proficiently plans, manages, and prioritizes multiple projects independently.
Exhibits resilience and adaptability in the face of evolving circumstances.
This role requires frequent travel, with the expectation of being available for travel over 75% of the time.
Availability to participate in meetings on holidays and weekends is required."
Senior Biostatistician I,
Clinical Trial Manager II,"What we’re looking for
Bachelor’s degree or RN in a related field or equivalent combination of education, training and experience.
Demonstrated ability to lead and align teams in the achievement of project milestones.
Demonstrated capability of working in an international environment.
Demonstrated expertise in site management and monitoring (clinical or central).
Preferred experience with risk-based monitoring.
Demonstrates understanding of clinical trial management financial principles and budget management.
Knowledge of Good Clinical Practice/ICH Guidelines and other applicable regulatory requirements.
Must demonstrate good computer skills.
Good communication, presentation and interpersonal skills among project team and with sites.
Strong conflict resolution skills.
Demonstrated ability to apply problem solving techniques to resolve complex issues, and apply a risk management approach to identifying and mitigating potential threats to the successful conduct of a clinical research project.
Demonstrates critical thinking to determine the cause and appropriate solution in the identification of issues.
Moderate travel may be required, approximately 20%."
"Manager - Regulatory Affairs - Innovative Medicines, Europe","Do you have?
A strong Scientific background with a BSc degree in Life or Pharmaceutical/Healthcare Sciences – ideally with a MSc or PhD
Substantial European regulatory affairs experience (must have)
Experience in Clinical Trial Applications in the EU (must have)
Innovative Medicine experience in Immunology and/or Oncology and/or Gastroenterology and/or Respiratory therapeutic areas is a significant advantage, but we are open to consider any therapeutic area
Experience with Medical Devices and the Medical Device Regulation would also be an advantage
Strong leadership and interpersonal skills
Are you?
An excellent written and verbal communicator and confident presenting/communicating with local and global groups
Able to work under pressure to meet tight deadlines
A strategic thinker with strong problem solving skills"
Analytical Scientist,
Gene Therapy Quality Control Testing Scientist,
MSL Rheumatology - Catalonia & Baleares,"Advanced degree (e.g. PharmD, MD, PhD) in a relevant scientific discipline is preferred but candidates with an undergraduate degree in a relevant discipline.
At least 2 years of MSL experience.
Experience in developing and maintaining expert knowledge for the assigned therapeutic area, and in medical research in general.
Solid knowledge of the pharmaceutical environment and the role of MSL to advance the medical and scientific objectives of a pharmaceutical company.
Demonstrated expertise in the scientific methods applied to clinical research and current legislative/regulatory controls applicable to this research.
Excellent written and spoken communication and presentation skills, with a demonstrated ability to develop and maintain strong collaborative relationships with thought leaders, physicians and other healthcare decision makers.
Strong commitment to compliance with the relevant rules and procedures, and to scientific quality and integrity.
Fluency in English."
"Research Associate II, R&D",
Project Manager Respiratory,
Production Shift Supervisor,
"Clinical Development Program Lead, Hematology",
Commercial Lead UK & Ireland,
Analytical Laboratory Technical Leader,
Senior Validation Specialist,
Scientist,
Medical Science Liaison - North Germany,
Postdoctoral Scientist Chemistry Innovations for Oligonucleotide Delivery,
Postdoctoral Scientist Delivery Mechanisms for Oligonucleotides,
(Senior/Principal) Scientist - Process Analytical Technologies,
Deputy Responsible Pharmacist/Associate Director Regulatory Affairs,
Scientific Manager Functional Characterization & Bioassays,"You are passionate about our purpose and genuinely care about our mission to transform the lives of patients through innovative cancer treatment.
You bring rigor and excellence to all that you do. You are a fierce believer in our rooted-in-science approach to problem-solving.
You are a generous collaborator who can work in teams with diverse backgrounds.
You are determined to do and be your best and take pride in enabling the best work of others on the team.
You are not afraid to grapple with the unknown and be innovative.
You have experience working in a fast-growing, dynamic company (or a strong desire to).
You work hard and are not afraid to have a little fun while you do so."
Senior Manager PV Operations,
"Medical Science Liaison Dermatology - Lazio, Umbria, Toscana, Sardegna, Marche","Requirements:
Advanced degree (e.g. PharmD., MD, PhD) in a relevant scientific discipline is preferred but candidates with an undergraduate degree in a relevant discipline and demonstrated experience will be considered.
Experience in developing and maintaining expert knowledge for the assigned therapeutic area, and in medical research in general.
Solid knowledge of the pharmaceutical environment and the role of Medical Affairs to advance the medical and scientific objectives of a pharmaceutical company.
Demonstrated expertise in the scientific methods applied to clinical research and current legislative/regulatory controls applicable to this research.
Ability to comprehensively learn about new subject areas and environments.
Excellent written and spoken communication and presentation skills, with a demonstrated ability to develop and maintain strong collaborative relationships with thought leaders, physicians and other healthcare decision makers.
A good understanding of written and oral English is desirable.
High customer orientation.
Strong commitment to compliance with the relevant rules and procedures, and to scientific quality and integrity."
Formulation Development Scientist,"Education:
Master's degree or Bachelor's degree in Pharmacy, Chemistry or Life Sciences.
Experience:
+5 years of relevant experience in Pharma industries, with relevant experience in formulation development, Innovation process and transfer to industrial sites;
Experience in working with transversal teams and with different initiatives.
Language:
Fluent English communication skills, verbal and written;
French is a nice-to-have.
Technical skills:
Relevant experience in formulation development, Innovation process and transfer to industrial sites;
Knowledge on regulatory environment of drug products, especially OTC;
Knowledge of Agile methods;
Skilled on facilitation, situational awareness, continuous improvement, empowerment and increasing transparency.
Soft skills:
Leadership, Communication skills, problem solving, transverse interaction and proactivity;
Hands on attitude;
Ability to drive complex projects in a transverse environment;
Excellent communicator, able to communicate with external stakeholders and management;
Ability to drive new Way of Working in a complex environment and to challenge the status quo."
Analytical Sciences Team Leader,
Senior Bioprocess Scientist,
Analytical Chemist,
Medical Advisor - Rheumatology,"IDEAL CANDIDATE:
Required:
Medical (highly preferred), or Italian equivalent to Laurea Magistrale in life science/chemistry related topics.
Minimum of 3 years’ working experience in clinical context or in pharmaceutical/biotechnological industry, in a scientific/medical role, within cross functional teams.
Ability to transform strategies into feasible and realistic actions.
Ability in leading, motivating, and coordinating cross functional team.
Excellent knowledge of the health sector and of its development.
Effective management of the work in a matrix structure.
Knowledge of financial principles and processes.
Fluency in written and oral English (Minimum Common European Framework Level: C1).
Preferred:
Medical Specialization in Rheumatology.
Proven success in pharmaceutical/biotechnological context."
Regulatory Affairs Manager CMC,
QC Process Team Leader - Bioassay,
Expert Statistical Programming,
Drug Product & Device Commercial Manufacturing Lead,
QA Specialist II,
Head Biochemistry and Structural Biology Lab,
(Senior) Medical Affairs Manager Neurology - Medical Affairs and Evidence Generation (MAEG),
Pre-clinical and Translational Pharmacometrician,"You hold a relevant academic degree, preferably a PhD (or equivalent) within pharmaceutical/pharmacokinetic/biological/mathematical science and 3+ years of experience within PK/PD modeling.
Furthermore, you have:
Hands-on experience and strong programming skills in NONMEM and R language;
Experience with MIDD and developing models for new target areas;
Technical expertise to organize, perform, and report pharmacometric analyses including:

Developing semi-mechanistic PK/PD models for new drug candidates;
Developing and applying pre-clinical and early clinical models for TransCon technology;
Translational modeling, simulation, and extrapolation analyses (from non-clinical to clinical PK/PD).


Experience and interest in disease modeling, PBPK and QSP is a plus.
Key competences:
You are a strong team player with a can-do attitude. You possess an entrepreneurial mindset and can thrive in an informal, open environment where innovation and change are key. To succeed in this role, we also expect you to be a highly proactive and analytical individual with a strong scientific background who enjoys challenges and working in a friendly, collaborative, and quickly developing organization.
You have a strong mathematical background in addition to biological understanding and the ability to interpret, summarize, present, and communicate efficiently with scientists from other disciplines as well as clinicians.
As you will be working on various tasks in different projects in parallel, you work in a structured way, and have a high quality-oriented mindset with the right level of details while keeping the overall picture in mind. Your ability to share knowledge and contribute to common goals will be valued among colleagues."
Senior Medicinal Chemist,
"Director, Medical Affairs - Multiple Therapy Areas",
Sr. Clinical Data Manager,
Senior Scientist 1,
Research Scientist - Protein Sciences with Focus on Membrane Proteins,
Cross-Functional Toxicologist,"You hold a relevant academic degree – preferably a MSc or PhD in Biology, Biotechnology, Chemistry, Pharmaceutical Sciences, Veterinary Medicine or other Life Science area. – and +3 years of experience from the pharmaceutical industry or a CMO.
It is a major advantage if you have knowledge of quality management systems and GMP.
Furthermore, you:
Are passionate about chemistry;
Have an academic mindset and eager to learn and apply new knowledge;
Have a strong quality mindset;
Can collaborate and communicate effectively with key stakeholders, and provide clear recommendations.
Key competencies:
You are a strong team player, analytical, and have a can-do attitude.
You possess an entrepreneurial mindset and can thrive in an informal, open environment where innovation and change are key.
To succeed in this role, we also expect you to be:
Effective and an engaged communicator with strong interpersonal and collaboration skills;
Good in planning your daily work, keeping track of assignments and able to adjust to changing priorities;
Willing to work across multiple projects in our pipeline."
Principal Statistical Programmer,
Project Manager Proteins and Biologics,
Lead Product Development Scientist,
"Associate Director, Regulatory Affairs CMC","Bachelor’s degree in a scientific field or post-graduate degree preferred;
Extensive experience in CMC Regulatory Affairs within the pharmaceutical or biotechnology industry; particularly relating to peptides, drug-conjugates and/or radiopharmaceuticals; any in-depth experience may be limited to one specific region (e.g. US or EU);
Working knowledge of FDA, EMA, ICH and cGMP CMC regulatory guidance and regulations;
Experience and knowledge in preparation of CMC sections of INDs, CTAs, NDAs, MAAs or regional equivalents is required;
Experience and knowledge in the supportive interactions with health authorities, including US FDA, EMA and/or EU Member States, is desirable;
Ability to communicate on topics of basic science is essential; an understanding of the drug product lifecycle from discovery to clinical trials to marketing is required;
Ability to proactively identify risks and develop risk mitigation strategies;
Adaptable with the ability to generate creative solutions, identify different and novel ways to find solutions, and adapt to changing priorities and deadlines;
Highly collaborative, strong relationship building skills with internal and external partners, with a high level of integrity;
Works proactively using solid communication and influencing skills to effectively execute program goals for assigned BicycleTx programs or projects;
Works effectively in a highly complex and fast-paced environment;
Strong organizational and time management skills;
Position may require some domestic and international travel."
Synthetic Chemist,
Senior Bioinformatician - Tertiary Analysis,
Brand Manager Rheumatology,"Skills and Experience
Degree level education (or equivalent), preferably Life Sciences or Economics
Minimum 2 years of relevant marketing experience with proven track record of success within Biotech/Pharma/FMCG
Strategic Thinking attitude
Excellent analytical and communication skills
Proven working knowledge of healthcare environment
Project Management skills
Local and international mobility
English language proficiency verbally and in writing
Preferred
Infield Experience
Experience in Marketing/Brand Management role, ideally within Immunology
Product launch management experience"
"Analytical Chemist (Liquid or Gas Chromatography, Mass Spectrometry)",
Scientist - Biologist/Biotechnologist (GxP),
"Medical Science Liaison, UK & Northern Europe, Neuromuscular Disorders",
Global Medical Lead Enterogermina,"Experience: Minimum of 5-8 years of experience in the pharmaceutical industry medical or scientific affairs are required, preferably both locally and globally, and experience in clinical development. Knowledge in the consumer healthcare sector, its pharmaceutical products and its strategic development environment is essential as well as substantial experience in medical strategy development and execution.
Soft and technical skills: Knowledge of industry trends and experience in promoting and implementing process improvement initiatives. Excellent communication skills. Good organizational skills and the ability to handle a large workload under pressure and handle tight deadlines. Ability to anticipate and respond to potential problems and opportunities, ability to act as a business partner, highly adaptable, proactive, time- and detail-oriented, and a high level of professionalism, Familiarity in the field of scientific communication and stakeholder engagement, Ability to evaluate complex problems and propose viable solutions. Experience working within an international company with a complex organizational environment and the ability to operate in a matrix team-oriented structure. Ability to work cooperatively with others; the genuine desire to be part of a team and contribute to organizational and team goals. Proficient in international regulations, guidelines, good practices related to pharmaceutical industry standards and practices. Challenger Mindset Pillars: All in one. Together. Keep each other honest. Have each other`s back. Outcome obsessed. Be personally accountable. Driving sustainable impact and results with integrity. Break boundaries. Take thoughtful risks with creativity. Radically simple. Simple for us. Simple for consumers. As it should be. Required Leadership Competencies: Strategic thinking, business acumen, interpersonal relationships, change leadership, personal leadership, drive learning agility.
Education: Medical degree (MD) or pharmaceutical degree preferred and desirable. Scientific/health related degree (PhD, Phar.D.) is acceptable if supported by good experience.
Languages: Fluent spoken and written English an additional language is desirable."
